Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
273.875,4382,169,23,5.05,27.9,58.9,3.75,27.5,17.2,11.1
273.9375,4383,134,43.9,6.29,40.9,59.4,3.82,61.2,13.2,11.2
274,4384,179,39.1,20.4,38.4,59.4,1.2,68,7.25,21.9
274.0625,4385,160,11.1,20.5,28.7,57.2,0.71,41.5,27.9,23.4
274.125,4386,201,16.6,7.01,18.4,54.5,0.678,15.1,63.5,13.9
274.1875,4387,214,34.1,5.67,13.4,61.7,0.674,16.1,66,11.4
274.25,4388,128,35.7,4.64,34.2,61.7,0.57,51,34.3,18.4
274.3125,4389,154,20,17.1,35.3,60,0.57,54,14.8,22.1
274.375,4390,155,18.7,18.2,19.1,59.6,0.578,26.1,24.7,16.6
274.4375,4391,184,39.9,8.95,15.1,58.5,0.555,18,22.6,11.2
274.5,4392,186,43,6.11,10.2,68.1,0.56,12.9,11.5,14
274.5625,4393,126,24.4,5.02,30.1,68.8,0.566,29.2,22.5,20.8
274.625,4394,117,20.5,12.3,38.3,58.9,0.546,47.8,51.8,19.2
274.6875,4395,155,55.1,17.5,31.5,54.3,1.22,44.5,68.2,11.4
274.75,4396,193,53.8,14.1,22,59.6,1.4,25,48.8,11.9
274.8125,4397,165,16.8,5.91,20.8,58.3,4.21,13.5,8.59,19.9
274.875,4398,115,14.7,4.97,19.6,55.6,4.32,16.4,8.7,21.1
274.9375,4399,150,33,5.76,34.6,57.8,1.41,62.6,23.2,13.9
275,4400,163,35.4,12.8,43.5,57.4,0.727,68,23,11.2
275.0625,4401,115,19.6,12.5,32,57.5,0.576,30.9,5.53,14.9
275.125,4402,98,20.1,6.32,21.9,55.5,0.581,14,12.3,19.3
275.1875,4403,110,39.7,6.46,22.2,55.8,0.56,12.8,59,16.6
275.25,4404,122,38,5.95,18.9,56.9,0.588,18.9,71.6,11.1
275.3125,4405,140,16.4,9.72,29.1,57.1,0.568,55.2,54.7,12.4
275.375,4406,178,27,8.83,37.5,57,0.598,58.1,36.7,19
275.4375,4407,179,48.5,6.74,27.2,55.7,0.583,29.2,13.2,18.2
275.5,4408,123,43.1,7,19.3,55.2,0.58,17.2,6.53,11.1
275.5625,4409,104,15.4,5.79,27.4,56.6,1.53,11.2,3.33,11.8
275.625,4410,127,25,11.1,24.3,57.8,1.78,19.7,4.48,15.2
275.6875,4411,109,43.7,14,42,55.8,1.44,65.1,25.6,16.2
275.75,4412,112,38.8,10.9,48.4,55.4,1.24,69.8,60.4,13
275.8125,4413,113,15,5.71,25.9,55.2,0.877,34,74.9,11.2
275.875,4414,98.1,47.9,5.06,7.55,54.4,0.657,15.8,60.2,14.3
275.9375,4415,134,54.8,6.63,15.8,59.3,0.564,19.4,32.9,20.2
276,4416,113,40.5,17.9,17,58.2,0.605,40,8.35,18
276.0625,4417,138,35.9,17.3,30.9,54.3,0.611,42.8,4.47,10.9
276.125,4418,153,66.4,5.79,41.6,54.9,0.587,30.7,5.37,11.9
276.1875,4419,98.5,70.5,6.56,32.2,55.4,0.599,23.5,45.7,16.2
276.25,4420,128,32,6.08,16.1,57.5,0.587,10.6,69.3,15.7
276.3125,4421,123,46.9,15.6,14.4,55.7,0.571,10.7,70.7,11.3
276.375,4422,84.9,71.3,18.5,13.1,56,0.758,52,48.3,11.3
276.4375,4423,101,61,11.8,25.4,55.6,1.16,53.5,10.6,18.1
276.5,4424,101,27.5,5.53,44.2,54,1.16,27.6,7.63,18.5
276.5625,4425,101,46.7,4.78,45.8,58.7,1.19,24.7,2.99,11.9
276.625,4426,110,51.5,13.2,31,56.1,1.22,11.5,4.64,11.1
276.6875,4427,126,31.6,18.7,20.4,56.2,0.762,23.3,35.3,12.1
276.75,4428,139,27.9,15,20.3,56.2,0.533,43.6,64.4,17.7
276.8125,4429,114,42.1,6.47,39.6,55.4,0.555,42.6,60.5,16.8
276.875,4430,70.3,42.5,4.87,47.9,59.4,0.559,24.2,35.2,11
276.9375,4431,124,18.2,6.36,35.9,57.4,0.579,14.7,26.9,11.5
277,4432,127,27.7,27.7,21.3,58,0.564,9.21,16,13.7
277.0625,4433,110,40,27.5,12.9,59.2,0.576,40.1,6.83,19.8
277.125,4434,134,34.9,6.53,21.3,56.6,0.583,45.3,3.69,18.3
